name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Abaqus,,https://www.simulia.com,,,,,,graduated,,,,Finite element analysis software,,,,,,,,,,,,Engineering & Simulation,FEA & Structural Analysis,,,,,,,,,,,,,,,,,,,,,,,,
ABINIT,,https://www.abinit.org,,,,,,graduated,,,,First-principles calculation suite,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm Visualizer,,https://algorithm-visualizer.org/,,,,,,graduated,,,,Interactive tool to visualize algorithms,,,,,,,,,,,,Data & Visualization Resources,Visualization & Algorithm Tools,,,,,,,,,,,,,,,,,,,,,,,,
Amira,,https://www.thermofisher.com/us/en/home/electron-microscopy/products/software-em-3d-vis/amira-software.html,,,,,,graduated,,,,Statistical Parametric Mapping,,,,,,,,,,,,Neuroimaging & Brain Computing,Neuroimaging Platforms,,,,,,,,,,,,,,,,,,,,,,,,
ANSYS,,https://www.ansys.com/,,,,,,graduated,,,,Engineering simulation software suite,,,,,,,,,,,,Engineering & Simulation,FEA & Structural Analysis,,,,,,,,,,,,,,,,,,,,,,,,
APT,,https://www.stsci.edu/scientific-community/software/astronomers-proposal-tool-apt,,,,,,graduated,,,,Astronomers Proposal Tool,,,,,,,,,,,,Space Science & Astronomy,Proposal & Observation Planning,,,,,,,,,,,,,,,,,,,,,,,,
ArcGIS,,https://www.esri.com,,,,,,graduated,,,,GIS mapping platform,,,,,,,,,,,,Geospatial & Mapping,GIS Platforms,,,,,,,,,,,,,,,,,,,,,,,,
AutoCAD,,https://www.autodesk.com,,,,,,graduated,,,,Professional design and drafting software,,,,,,,,,,,,Engineering & Simulation,CAD & Design,,,,,,,,,,,,,,,,,,,,,,,,
Avogadro,,https://avogadro.cc,,,,,,graduated,,,,Molecular editor and visualization,,,,,,,,,,,,Chemistry & Molecular Modeling,Molecular Visualization,,,,,,,,,,,,,,,,,,,,,,,,
Azure Maps,,https://azure.microsoft.com/en-us/services/cognitive-services/maps,,,,,,graduated,,,,Cloud mapping service,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Bioconductor,,https://www.bioconductor.org,,,,,,graduated,,,,Bioinformatics tools for R,,,,,,,,,,,,Bioinformatics,Statistical Platforms,,,,,,,,,,,,,,,,,,,,,,,,
BioJava,,https://biojava.org,,,,,,graduated,,,,Bioinformatics library for Java,,,,,,,,,,,,Bioinformatics,Language-Specific Tools,,,,,,,,,,,,,,,,,,,,,,,,
BioPerl,,https://bioperl.org,,,,,,graduated,,,,Bioinformatics toolkit for Perl,,,,,,,,,,,,Bioinformatics,Language-Specific Tools,,,,,,,,,,,,,,,,,,,,,,,,
BioPython,,https://biopython.org,,,,,,graduated,,,,Bioinformatics toolkit for Python,,,,,,,,,,,,Bioinformatics,Python Tools,,,,,,,,,,,,,,,,,,,,,,,,
Bokeh,,https://bokeh.org/,,,,,,graduated,,,,Interactive visualizations,,,,,,,,,,,,Data Science & Programming,Data Visualization,,,,,,,,,,,,,,,,,,,,,,,,
BrainForge,,https://brainforge.rs.gsu.edu/,,,,,,graduated,,,,Brain imaging and analysis platform,,,,,,,,,,,,Neuroimaging & Brain Computing,Comprehensive Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Caffe,,https://caffe.berkeleyvision.org,,,,,,graduated,,,,Deep learning framework,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
CASTEP,,https://www.castep.org,,,,,,graduated,,,,Plane wave DFT,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
CATIA,,https://www.3ds.com,,,,,,graduated,,,,3D design and engineering platform,,,,,,,,,,,,Engineering & Simulation,CAD & Design,,,,,,,,,,,,,,,,,,,,,,,,
CCMC,,https://ccmc.gsfc.nasa.gov/models/,,,,,,graduated,,,,Community Coordinated Modeling Center,,,,,,,,,,,,Space Science & Astronomy,Data & Modeling Centers,,,,,,,,,,,,,,,,,,,,,,,,
Cesium,,https://cesium.com,,,,,,graduated,,,,3D geospatial visualization,,,,,,,,,,,,Geospatial & Mapping,3D & Advanced Visualization,,,,,,,,,,,,,,,,,,,,,,,,
Chainer,,https://chainer.org,,,,,,graduated,,,,Deep learning framework,,,,,,,,,,,,Data Science & Programming,Specialized ML Tools,,,,,,,,,,,,,,,,,,,,,,,,
ChemDraw,,https://www.revvitysignals.com,,,,,,graduated,,,,Chemical structure drawing,,,,,,,,,,,,Chemistry & Molecular Modeling,Chemistry Tools,,,,,,,,,,,,,,,,,,,,,,,,
Civil 3D,,https://www.autodesk.com,,,,,,graduated,,,,Infrastructure design software,,,,,,,,,,,,Engineering & Simulation,Infrastructure Design,,,,,,,,,,,,,,,,,,,,,,,,
CKAN,,https://docs.ckan.org/en/2.11/api/index.html,,,,,,graduated,,,,Comprehensive Knowledge Archive Network,,,,,,,,,,,,Data & Visualization Resources,Data Catalogs & APIs,,,,,,,,,,,,,,,,,,,,,,,,
CNTK,,https://cntk.ai,,,,,,graduated,,,,Cognitive Toolkit for deep learning,,,,,,,,,,,,Data Science & Programming,Specialized ML Tools,,,,,,,,,,,,,,,,,,,,,,,,
Coiled,,https://docs.coiled.io/,,,,,,graduated,,,,Scale Dask to the Cloud,,,,,,,,,,,,Data Science & Programming,Big Data & Distributed Computing,,,,,,,,,,,,,,,,,,,,,,,,
COMSOL,,https://www.comsol.com,,,,,,graduated,,,,Multiphysics simulation platform,,,,,,,,,,,,Engineering & Simulation,Simulation & Modeling,,,,,,,,,,,,,,,,,,,,,,,,
Dask,,https://www.dask.org/,,,,,,graduated,,,,Parallel computing library,,,,,,,,,,,,Data Science & Programming,Big Data & Distributed Computing,,,,,,,,,,,,,,,,,,,,,,,,
Data.gov,,https://catalog.data.gov/api/3,,,,,,graduated,,,,US government open data catalog,,,,,,,,,,,,Data & Visualization Resources,Data Catalogs & APIs,,,,,,,,,,,,,,,,,,,,,,,,
Earthdata - NASA Earth Data,,https://earthdata.nasa.gov,,,,,,graduated,,,,Comprehensive earth observation data,,,,,,,,,,,,Space Science & Astronomy,NASA Platforms & Programs,,,,,,,,,,,,,,,,,,,,,,,,
Earthdata OpenDAP,,https://www.earthdata.nasa.gov/engage/open-data-services-software/earthdata-developer-portal/opendap,,,,,,graduated,,,,Open-source Project for a Network Data Access Protocol,,,,,,,,,,,,Space Science & Astronomy,Data & Modeling Centers,,,,,,,,,,,,,,,,,,,,,,,,
ELK,,https://elk.sourceforge.io,,,,,,graduated,,,,All-electron DFT code,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Exciting,,https://exciting-code.org,,,,,,graduated,,,,DFT code,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Exposure Time Calculator,,https://www.stsci.edu/jwst/science-planning/proposal-planning-toolbox/exposure-time-calculator,,,,,,graduated,,,,Exposure Time Calculator for JWST,,,,,,,,,,,,Space Science & Astronomy,JWST Tools,,,,,,,,,,,,,,,,,,,,,,,,
FHI-aims,,https://fhi-aims.org,,,,,,graduated,,,,Electronic structure code,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
FreeSurfer,,https://surfer.nmr.mgh.harvard.edu/,,,,,,graduated,,,,Brain surface analysis,,,,,,,,,,,,Neuroimaging & Brain Computing,Neuroimaging Platforms,,,,,,,,,,,,,,,,,,,,,,,,
GAMESS,,https://www.msg.chem.iastate.edu,,,,,,graduated,,,,Quantum chemistry package,,,,,,,,,,,,Chemistry & Molecular Modeling,Quantum Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
Garfield++,,https://garfieldpp.web.cern.ch/,,,,,,graduated,,,,Detector simulation framework,,,,,,,,,,,,Physics & Material Science,Nuclear & Particle Physics,,,,,,,,,,,,,,,,,,,,,,,,
Gaussian,,https://gaussian.com,,,,,,graduated,,,,Electronic structure calculations,,,,,,,,,,,,Chemistry & Molecular Modeling,Quantum Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
GDAL,,https://gdal.org,,,,,,graduated,,,,Geospatial data translation,,,,,,,,,,,,Geospatial & Mapping,Geospatial Data & Tools,,,,,,,,,,,,,,,,,,,,,,,,
Geant4,,https://geant4.web.cern.ch/,,,,,,graduated,,,,Particle simulation toolkit,,,,,,,,,,,,Physics & Material Science,Nuclear & Particle Physics,,,,,,,,,,,,,,,,,,,,,,,,
Google Earth Engine,,https://console.cloud.google.com/apis/library/earthengine.googleapis.com,,,,,,graduated,,,,Geospatial analysis platform,,,,,,,,,,,,Geospatial & Mapping,Earth Observation,,,,,,,,,,,,,,,,,,,,,,,,
Google Maps Platform,,https://cloud.google.com/maps-platform,,,,,,graduated,,,,Google's mapping APIs,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
GPAW,,https://gpaw.org,,,,,,graduated,,,,DFT calculator,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Hadoop,,https://hadoop.apache.org,,,,,,graduated,,,,Distributed computing framework,,,,,,,,,,,,Data Science & Programming,Big Data & Distributed Computing,,,,,,,,,,,,,,,,,,,,,,,,
HERE Maps,,https://www.here.com,,,,,,graduated,,,,Mapping and location services,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
JIST,,https://jist.stsci.edu/jist,,,,,,graduated,,,,JWST Instrument Status Tool,,,,,,,,,,,,Space Science & Astronomy,JWST Tools,,,,,,,,,,,,,,,,,,,,,,,,
Julia,,https://julialang.org,,,,,,graduated,,,,High-performance computing language,,,,,,,,,,,,Data Science & Programming,Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,
Jupyter Book,,https://jupyterbook.org/stable/,,,,,,graduated,,,,"Build beautiful, publication-quality books and documents from computational content",,,,,,,,,,,,Notebooks & Documentation,Jupyter Ecosystem,,,,,,,,,,,,,,,,,,,,,,,,
Keras,,https://keras.io,,,,,,graduated,,,,Deep learning API,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Keras.js,,https://keras.io/js,,,,,,graduated,,,,Deep learning in JavaScript,,,,,,,,,,,,Data Science & Programming,JavaScript ML,,,,,,,,,,,,,,,,,,,,,,,,
LabVIEW,,https://www.ni.com,,,,,,graduated,,,,Systems engineering software,,,,,,,,,,,,Engineering & Simulation,Simulation & Modeling,,,,,,,,,,,,,,,,,,,,,,,,
LAMMPS,,https://lammps.sandia.gov,,,,,,graduated,,,,Molecular dynamics simulator,,,,,,,,,,,,Physics & Material Science,Molecular Dynamics,,,,,,,,,,,,,,,,,,,,,,,,
Leaflet,,https://leafletjs.com,,,,,,graduated,,,,Interactive mapping library,,,,,,,,,,,,Geospatial & Mapping,Web Mapping Libraries,,,,,,,,,,,,,,,,,,,,,,,,
LMSAL,,https://www.lmsal.com,,,,,,graduated,,,,Solar & Astrophysics Laboratory,,,,,,,,,,,,Space Science & Astronomy,Space Science References,,,,,,,,,,,,,,,,,,,,,,,,
Mapbox,,https://www.mapbox.com,,,,,,graduated,,,,Location platform,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Mapbox GL JS,,https://www.mapbox.com/mapbox-gl-js,,,,,,graduated,,,,WebGL mapping library,,,,,,,,,,,,Geospatial & Mapping,Web Mapping Libraries,,,,,,,,,,,,,,,,,,,,,,,,
Mapbox Studio,,https://www.mapbox.com/studio,,,,,,graduated,,,,Map design platform,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Maple,,https://www.maplesoft.com,,,,,,graduated,,,,Mathematics software,,,,,,,,,,,,Data Science & Programming,Numerical & Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
Mapnik,,https://mapnik.org,,,,,,graduated,,,,Map rendering library,,,,,,,,,,,,Geospatial & Mapping,Geospatial Data & Tools,,,,,,,,,,,,,,,,,,,,,,,,
MapServer,,https://mapserver.org,,,,,,graduated,,,,Web mapping server,,,,,,,,,,,,Geospatial & Mapping,Geospatial Data & Tools,,,,,,,,,,,,,,,,,,,,,,,,
MapTiler,,https://www.maptiler.com,,,,,,graduated,,,,Map hosting platform,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Materials Project,,https://www.materialsproject.org,,,,,,graduated,,,,Materials database,,,,,,,,,,,,Physics & Material Science,Educational & Reference,,,,,,,,,,,,,,,,,,,,,,,,
MathCAD,,https://www.ptc.com,,,,,,graduated,,,,Engineering computation software,,,,,,,,,,,,Data Science & Programming,Numerical & Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
Mathematica,,https://www.wolfram.com,,,,,,graduated,,,,Technical computing system,,,,,,,,,,,,Data Science & Programming,Numerical & Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
MATLAB,,https://www.mathworks.com,,,,,,graduated,,,,Numerical computing and programming,,,,,,,,,,,,Data Science & Programming,Numerical & Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
Matplotlib,,https://matplotlib.org,,,,,,graduated,,,,Data visualization library,,,,,,,,,,,,Data Science & Programming,Data Visualization,,,,,,,,,,,,,,,,,,,,,,,,
MCNP,,https://mcnp.lanl.gov,,,,,,graduated,,,,Monte Carlo N-Particle transport,,,,,,,,,,,,Physics & Material Science,Nuclear & Particle Physics,,,,,,,,,,,,,,,,,,,,,,,,
MIMneuro,,https://www.mimsoftware.com/nuclear-medicine/mim-neuro,,,,,,graduated,,,,Statistical Parametric Mapping software,,,,,,,,,,,,Neuroimaging & Brain Computing,Neuroimaging Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Molcas,,https://molcas.org,,,,,,graduated,,,,Quantum chemistry software,,,,,,,,,,,,Chemistry & Molecular Modeling,Quantum Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
Molpro,,https://www.molpro.net,,,,,,graduated,,,,Quantum chemistry package,,,,,,,,,,,,Chemistry & Molecular Modeling,Quantum Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
MXNet,,https://mxnet.apache.org,,,,,,graduated,,,,Deep learning framework,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
MySQL,,https://www.mysql.com,,,,,,graduated,,,,Relational database system,,,,,,,,,,,,Data & Visualization Resources,Databases,,,,,,,,,,,,,,,,,,,,,,,,
NASA ACT,,https://esto.nasa.gov/act/,,,,,,graduated,,,,Advanced computing initiatives at NASA,,,,,,,,,,,,Space Science & Astronomy,NASA Platforms & Programs,,,,,,,,,,,,,,,,,,,,,,,,
NASA Data API,,https://data.nasa.gov/api/3,,,,,,graduated,,,,Official NASA data API,,,,,,,,,,,,Space Science & Astronomy,Data & Modeling Centers,,,,,,,,,,,,,,,,,,,,,,,,
NASA OPERA,,https://www.jpl.nasa.gov/go/opera/products/,,,,,,graduated,,,,Operational SAR and optical analysis,,,,,,,,,,,,Space Science & Astronomy,NASA Platforms & Programs,,,,,,,,,,,,,,,,,,,,,,,,
NASA PDS API,,https://nasa-pds.github.io/pds-api/guides/search.html,,,,,,graduated,,,,Planetary Data System API,,,,,,,,,,,,Space Science & Astronomy,Data & Modeling Centers,,,,,,,,,,,,,,,,,,,,,,,,
NASA Quantum Initiative,,https://esto.nasa.gov/quantum/,,,,,,graduated,,,,NASA quantum computing programs,,,,,,,,,,,,Space Science & Astronomy,NASA Platforms & Programs,,,,,,,,,,,,,,,,,,,,,,,,
Neuroconductor,,https://neuroconductor.org/,,,,,,graduated,,,,Bioinformatics tools for R,,,,,,,,,,,,Neuroimaging & Brain Computing,Comprehensive Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Neurodesk,,https://neurodesk.org/,,,,,,graduated,,,,Complete neuroimaging suite,,,,,,,,,,,,Neuroimaging & Brain Computing,Comprehensive Platforms,,,,,,,,,,,,,,,,,,,,,,,,
NeuroSky,,https://store.neurosky.com/,,,,,,graduated,,,,EEG-based neurotechnology and sensors,,,,,,,,,,,,Neuroimaging & Brain Computing,Brain-Computer Interface,,,,,,,,,,,,,,,,,,,,,,,,
NITRC,,https://www.nitrc.org/,,,,,,graduated,,,,Neuroimaging Informatics Tools and Resources,,,,,,,,,,,,Neuroimaging & Brain Computing,Reference & Resources,,,,,,,,,,,,,,,,,,,,,,,,
NumPy,,https://numpy.org,,,,,,graduated,,,,Numerical computing library,,,,,,,,,,,,Data Science & Programming,Scientific Computing,,,,,,,,,,,,,,,,,,,,,,,,
NWChem,,https://www.nwchem.org,,,,,,graduated,,,,Computational chemistry software,,,,,,,,,,,,Chemistry & Molecular Modeling,Computational Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
OpenBCI,,https://openbci.com/,,,,,,graduated,,,,Open-source brain-computer interface hardware,,,,,,,,,,,,Neuroimaging & Brain Computing,Brain-Computer Interface,,,,,,,,,,,,,,,,,,,,,,,,
OpenFOAM,,https://openfoam.com,,,,,,graduated,,,,Open-source CFD toolbox,,,,,,,,,,,,Engineering & Simulation,Simulation & Modeling,,,,,,,,,,,,,,,,,,,,,,,,
OpenLayers,,https://openlayers.org,,,,,,graduated,,,,Web mapping library,,,,,,,,,,,,Geospatial & Mapping,Web Mapping Libraries,,,,,,,,,,,,,,,,,,,,,,,,
OpenMX,,https://www.openmx-square.org,,,,,,graduated,,,,DFT program,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
PaddlePaddle,,https://www.paddlepaddle.org.cn,,,,,,graduated,,,,Deep learning framework,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Pandas,,https://pandas.pydata.org,,,,,,graduated,,,,Data manipulation library,,,,,,,,,,,,Data Science & Programming,Scientific Computing,,,,,,,,,,,,,,,,,,,,,,,,
PhET,,https://phet.colorado.edu,,,,,,graduated,,,,Physics simulations,,,,,,,,,,,,Physics & Material Science,Educational & Reference,,,,,,,,,,,,,,,,,,,,,,,,
Pluto.jl,,https://plutojl.org/en/docs/plutopages/,,,,,,graduated,,,,Reactive notebooks for Julia,,,,,,,,,,,,Notebooks & Documentation,Julia Notebooks,,,,,,,,,,,,,,,,,,,,,,,,
Power BI,,https://powerbi.microsoft.com,,,,,,graduated,,,,Business analytics tool,,,,,,,,,,,,Data Science & Programming,Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,
Psi4,,https://psicode.org,,,,,,graduated,,,,Quantum chemistry program,,,,,,,,,,,,Chemistry & Molecular Modeling,Computational Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
PyMOL,,https://www.pymol.org,,,,,,graduated,,,,Molecular visualization software,,,,,,,,,,,,Chemistry & Molecular Modeling,Molecular Visualization,,,,,,,,,,,,,,,,,,,,,,,,
Python,,https://www.python.org,,,,,,graduated,,,,Versatile programming language,,,,,,,,,,,,Data Science & Programming,Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,
PyTorch,,https://pytorch.org,,,,,,graduated,,,,Machine learning framework,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Q-Chem,,https://www.q-chem.com,,,,,,graduated,,,,Quantum chemistry software,,,,,,,,,,,,Chemistry & Molecular Modeling,Computational Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
QGIS,,https://qgis.org,,,,,,graduated,,,,Open-source GIS software,,,,,,,,,,,,Geospatial & Mapping,GIS Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Espresso,,https://www.quantum-espresso.org,,,,,,graduated,,,,DFT calculations,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
R,,https://www.r-project.org,,,,,,graduated,,,,Statistical computing language,,,,,,,,,,,,Data Science & Programming,Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,
Roman Research Nexus,,https://roman-docs.stsci.edu/data-handbook-home/roman-research-nexus,,,,,,graduated,,,,Data portal for Roman Space Telescope,,,,,,,,,,,,Space Science & Astronomy,Proposal & Observation Planning,,,,,,,,,,,,,,,,,,,,,,,,
SAP2000,,https://www.csiber.com,,,,,,graduated,,,,Structural analysis and design software,,,,,,,,,,,,Engineering & Simulation,FEA & Structural Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Scala,,https://www.scala-lang.org,,,,,,graduated,,,,Scalable programming language,,,,,,,,,,,,Data Science & Programming,Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,
SCALE,,https://www.ornl.gov,,,,,,graduated,,,,Nuclear analysis software,,,,,,,,,,,,Physics & Material Science,Nuclear & Particle Physics,,,,,,,,,,,,,,,,,,,,,,,,
SciPy,,https://scipy.org,,,,,,graduated,,,,Scientific computing library,,,,,,,,,,,,Data Science & Programming,Scientific Computing,,,,,,,,,,,,,,,,,,,,,,,,
Seaborn,,https://seaborn.pydata.org,,,,,,graduated,,,,Statistical data visualization,,,,,,,,,,,,Data Science & Programming,Data Visualization,,,,,,,,,,,,,,,,,,,,,,,,
Serpent,,https://serpent.vtt.fi,,,,,,graduated,,,,Monte Carlo reactor physics,,,,,,,,,,,,Physics & Material Science,Nuclear & Particle Physics,,,,,,,,,,,,,,,,,,,,,,,,
Siesta,,https://www.siesta-project.org,,,,,,graduated,,,,Electronic structure calculation,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Simulink,,https://www.mathworks.com,,,,,,graduated,,,,Simulation and model-based design,,,,,,,,,,,,Engineering & Simulation,Simulation & Modeling,,,,,,,,,,,,,,,,,,,,,,,,
SMILES,,https://opensmiles.org,,,,,,graduated,,,,Chemical notation system,,,,,,,,,,,,Chemistry & Molecular Modeling,Chemistry Tools,,,,,,,,,,,,,,,,,,,,,,,,
SolidWorks,,https://www.solidworks.com,,,,,,graduated,,,,CAD software for 3D design,,,,,,,,,,,,Engineering & Simulation,CAD & Design,,,,,,,,,,,,,,,,,,,,,,,,
Spark,,https://spark.apache.org,,,,,,graduated,,,,Big data processing engine,,,,,,,,,,,,Data Science & Programming,Big Data & Distributed Computing,,,,,,,,,,,,,,,,,,,,,,,,
Spartan,,https://www.wavefun.com,,,,,,graduated,,,,Molecular modeling software,,,,,,,,,,,,Chemistry & Molecular Modeling,Chemistry Tools,,,,,,,,,,,,,,,,,,,,,,,,
SPM,,https://www.fil.ion.ucl.ac.uk/spm/,,,,,,graduated,,,,Statistical Parametric Mapping,,,,,,,,,,,,Neuroimaging & Brain Computing,Neuroimaging Platforms,,,,,,,,,,,,,,,,,,,,,,,,
TensorFlow,,https://www.tensorflow.org,,,,,,graduated,,,,Machine learning framework,,,,,,,,,,,,Data Science & Programming,Machine Learning Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
TensorFlow.js,,https://www.tensorflow.org/js,,,,,,graduated,,,,Machine learning for JavaScript,,,,,,,,,,,,Data Science & Programming,JavaScript ML,,,,,,,,,,,,,,,,,,,,,,,,
Theano,,https://theano-py.readthedocs.io,,,,,,graduated,,,,Mathematical computation library,,,,,,,,,,,,Data Science & Programming,Specialized ML Tools,,,,,,,,,,,,,,,,,,,,,,,,
Three.js,,https://threejs.org,,,,,,graduated,,,,3D graphics library,,,,,,,,,,,,Geospatial & Mapping,3D & Advanced Visualization,,,,,,,,,,,,,,,,,,,,,,,,
TorchScript,,https://pytorch.org/docs/stable/jit.html,,,,,,graduated,,,,PyTorch script language,,,,,,,,,,,,Data Science & Programming,Specialized ML Tools,,,,,,,,,,,,,,,,,,,,,,,,
TPOT,,https://epistasislab.github.io/tpot/,,,,,,graduated,,,,ML pipeline automation,,,,,,,,,,,,Data Science & Programming,Specialized ML Tools,,,,,,,,,,,,,,,,,,,,,,,,
Turbomole,,https://www.turbomole.com,,,,,,graduated,,,,Quantum chemistry package,,,,,,,,,,,,Chemistry & Molecular Modeling,Computational Chemistry,,,,,,,,,,,,,,,,,,,,,,,,
VASP,,https://www.vasp.at,,,,,,graduated,,,,First-principles calculations,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Wolfram Alpha,,https://www.wolframalpha.com,,,,,,graduated,,,,Computational knowledge engine,,,,,,,,,,,,Data Science & Programming,Numerical & Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
